NAME,CODE,OPEN,HIGH,LOW,CLOSE
SWADESHI IND,506863, 0.95, 0.95, 0.95, 0.95
RAVALGAON   ,507300, 1940.0, 1978.0, 1850.0, 1975.0
TIAANC      ,540108, 43.2, 43.2, 41.0, 42.75
825MFL23A   ,937435, 950.02, 963.0, 950.02, 963.0
TATA COFFEE ,532301, 144.2, 145.6, 140.6, 142.5
BASANT AGRO ,524687, 7.05, 7.05, 6.67, 6.97
0MFL23E     ,937413, 995.0, 999.0, 995.0, 999.0
SREELEATHER ,535601, 140.5, 140.5, 140.0, 140.1
ACROW INDIA ,513149, 150.0, 150.0, 127.2, 132.0
GEPIL       ,532309, 258.3, 272.0, 256.85, 270.25
NOVARTIS    ,500672, 640.0, 652.75, 625.45, 642.25
